"news","teaser","date.and.author"
"178","AI Re-Creates Activity Patterns That Brain Cells Use in Navigation","Deep-learning algorithm spontaneously mimicked the activity of specialized neurons that tell us where we are in space","May 10, 2018 — Alison Abbott and Nature magazine"
"179","Cryptojacking Spreads across the Web","Right now, your computer might be using its memory and processor power—and your electricity—to generate money for someone else, without you ever knowing","May 9, 2018 — Pranshu Bajpai, Richard Enbody and The Conversation US"
"180","The “Clips” Camera Just Might Be the Weirdest Product Ever","Google's new camera decides what to photograph, based on AI algorithms","May 5, 2018 — David Pogue"
"181","Watch the Life Cycle of HIV in Colorful New Detail","Animation software brings together data to tell a molecular story","May 2, 2018 — Kelsey Kennedy"
"182","Defending Hospitals against Life-Threatening Cyber Attacks","Despite widespread concern about lack of cybersecurity funding, two surprising factors more directly determine whether a hospital is well protected","April 25, 2018 — Mohammad S. Jalali and The Conversation US"
"183","If (Virtual) Reality Feels Almost Right, It's Exactly Wrong","How adding touch to VR can lead to an “uncanny valley” of sensations—and what we can do about it","April 19, 2018 — Mar Gonzalez-Franco, Christopher C Berger and Ken Hinckley"
"184","IKEA-Building Robot Conquers Touchy-Feely Challenge","The Swedish furniture has become something of a benchmark for robotics engineers","April 18, 2018 — Larry Greenemeier"
"185","The Facebook Controversy: Privacy Is Not the Issue","The real danger is that the information and social platforms on the internet are being corrupted in the service of con men, political demagogues and thieves","April 18, 2018 — Peter Bruce"
"186","Mine Social Media Posts to Predict Flu","Researchers used Twitter searches for nonflu words associated with behavior to predict flu outbreaks two weeks in advance.","April 17, 2018 — Rachel Berkowitz"
"187","The Internet Needs a Tune-Up","Princeton University's Jennifer Rexford talks about optimizing the internet for the uses it got drafted into performing.

 ","April 13, 2018 — Mariette Dichristina and Steve Mirsky"
"188","Can AI Really Solve Facebook’s Problems?","Despite CEO Mark Zuckerberg’s efforts to reassure Congress that artificial intelligence can help find fake news and protect privacy, lawmakers worry the tech may be “biased”...","April 13, 2018 — Larry Greenemeier"
"189","Automobile Dashboard Technology Is Simply Awful","New cars have amazing technology everywhere but the dashboard","April 11, 2018 — David Pogue"
"190","Do Quantum Machines Roam the Universe?","An upcoming public discussion triggers some thoughts on exotechnology","April 7, 2018 — Caleb A. Scharf"
"191","Urban Bungle: Atlanta Cyber Attack Puts Other Cities on Notice","The city has spent the past two weeks restoring online services disrupted by ransomware that held encrypted data hostage...","April 4, 2018 — Larry Greenemeier"
"192","Did Stephen Wolfram's Knowledge Engine Just Become a Quantum Neural Blockchain AI?","Today's leading buzzwords seem to describe very separate concepts, but it turns out that they have some amazing commonalities","April 1, 2018 — Stephen Wolfram"
"193","Cambridge Analytica and Online Manipulation","It's not just about data protection; it's about strategies designed to induce addictive behavior, and thus to manipulate","March 30, 2018 — Marcello Ienca and Effy Vayena"
"194","How Twitter Bots Help Fuel Political Feuds","Automated social media accounts can create “misinformation networks” that spread falsehoods and fan the flames of partisan disagreement","March 27, 2018 — Chris Baraniuk"
"195","Ready Player One: We Are Surprisingly Close to Realizing Just Such a VR Dystopia","In the Steven Spielberg movie’s vision of the future, people go to school, go to work, socialize and spend leisure time in a vast virtual environment","March 23, 2018 — Craig Weightman and The Conversation US"
"196","Spot the Fake: Artificial Intelligence Can Produce Lifelike Photographs","By pitting AIs against one another, tech companies are creating realistic computer-generated images","March 19, 2018 — Lawrence Greenemeier"
"197","Intelligent to a Fault: When AI Screws Up, You Might Still Be to Blame","Interactions between people and artificially intelligent machines pose tricky questions about liability and accountability, according to a legal expert","March 15, 2018 — Larry Greenemeier"
"198","An AI That Knows the World Like Children Do","Artificial intelligence has staged a revival by starting to incorporate what we know about how children learn","March 8, 2018 — Alison Gopnik"
"199","The Business Case for a Data Refinery","Crude data is similar to crude oil—in its raw form, it’s usually too messy to be useful","March 5, 2018 — Mark Johnson"
"200","Supreme Court Skeptical of Microsoft's Ireland E-Mail Privacy Claims","Justices are considering whether a law passed prior to the Web and cloud computing allows companies to hide data stored abroad","March 1, 2018 — Larry Greenemeier"
